"R","u","D","u","u","l","l","R","R","d","l","R","l","D","u","l","D","R","l","R","D","l","l","r","u","u","R","R","u","R","u","l","R","R","u","R","d","L","R","l","l","l","d","D","R","l","R","d","R","d","d","l","u","l","R","l","l","u","d","L","R","r","l","R","l","R","d","d","l","D","u","R","R","R","R","l","d","u","R","l","l","R","l","l","r","u","l","r","r","R","R","R","u","l","R","l","R","R","R","R","d","d","l","R","l","U","R","u","l","R","D","R","r","l","R","l","l","u","l","u","r","d","D","R","l","l","D","R","l","R","u","l","l","l","D","l","u","u","l","l","R","R","l","D","u","R","R","l","u","D","R","u","l","l","L","l","u","r","R","R","l","d","d","R","l","u","R","u","R","R","R","u","D","d","u","l","l","l","l","l","l","D","u","l","r","l","l","l","d","l","r","R","l","l","u","U","d","d","l","l","u","r","l","R","l","r","u","R","l","R","u","l","R","d","d","d","u","l","R","l","R","u","D","d","R","d","l","R","R","R","l","D","u","d","L","l","r","l","l","r","d","d","R","u","R","u","d","R","r","l","l","l","R","l","u","d","R","R","l","l","d","d","d","l","l","l","R","u","R","r","d","d","l","R","R","L","l","R","R","l","l","D","R","l","l","l","l","R","d","R","u","u","u","l","D","d","d","D","u","R","D","l","R","R","R","D","l","R","R","l","R","u","l","r","l","u","l","u","u","u","R","l","R","r","R","u","d","R","R","l","l","u","u","l","l","R","R","l","u","l","D","R","l","R","d","l","D","D","u","D","d","l","R","u","u","L","l","D","l","l","R","R","R","u","l","R","l","D","D","R","U","d","R","l","u","u","l","l","R","d","l","u","l","R","l","u","u","l","l","R","R","d","D","d","R","u","l","R","l","R","r","l","R","D","l","d","l","U","R","u","l","D","r","l","R","R","R","u","u","l","u","l","R","R","l","R","R","D","R","R","u","R","R","D","l","u","l","R","r","r","D","D","d","l","u","l","R","R","l","d","R","u","R","u","l","u","u","R","L","l","R","r","r","l","u","L","l","R","R","R","u","R","u","u","d","R","l","l","R","l","l","l","r","d","u","l","l","R","R","r","l","u","R","R","l","l","u","R"
"R","u","D","l","R","l","d","l","R","u","R","r","R","u","l","l","r","R","R","u","R","R","l","u","D","R","u","l","R","l","d","l","R","u","u","D","l","d","l","R","d","u","u","l","R","R","l","l","D","l","R","R","u","u","u","R","l","l","d","R","u","d","u","D","R","R","R","R","l","r","R","l","l","R","R","l","R","R","l","R","r","R","l","l","l","l","u","D","l","l","u","d","l","R","l","u","d","R","l","l","R","l","d","l","R","l","R","d","R","u","u","u","l","d","l","l","l","R","l","l","u","R","r","l","L","u","u","R","R","R","D","R","d","l","l","l","R","d","d","D","l","R","l","d","d","R","l","l","l","u","u","l","l","l","U","R","D","d","R","D","R","D","u","d","l","R","l","R","R","u","R","l","d","l","r","r","l","l","r","d","d","r","u","u","R","D","R","D","l","R","R","u","u","R","u","l","r","U","d","u","l","D","d","R","u","R","d","D","u","l","d","l","l","l","L","D","l","l","d","l","U","R","R","u","R","d","L","R","l","l","R","R","l","R","L","r","l","d","R","r","R","R","l","l","R","u","r","R","R","l","d","r","D","R","R","R","l","u","R","R","R","R","l","d","r","u","R","l","D","u","D","r","R","l","R","D","R","u","d","l","R","l","D","u","l","l","l","r","l","l","R","D","d","D","D","d","L","R","R","R","R","D","u","R","l","R","l","l","R","R","d","u","D","u","R","R","l","R","l","u","R","R","l","l","D","l","l","l","R","U","d","l","D","l","R","d","R","l","R","l","U","r","r","l","l","R","l","u","R","l","u","u","l","u","R","R","l","u","u","R","R","l","l","R","l","l","r","u","d","r","u","R","l","l","R","r","R","l","R","d","R","l","u","d","u","r","R","u","u","l","l","R","u","u","l","l","l","l","l","R","u","l","l","R","l","R","u","R","D","u","R","l","l","l","L","R","U","R","D","R","R","u","l","u","l","u","l","R","l","l","L","l","l","l","l","l","R","R","r","l","L","l","l","R","R","l","D","D","R","d","r","R","D","u","r","l","R","D","u","d","d","u","R","l","R","l","l","R","u","R","D","d","d","l","u","R","R","l","l","l","R","u","u","u","d","d","l","d","R","D","u","l","d","u","l","u","u","u"
"u","R","u","l","r","u","u","d","R","d","D","u","u","D","l","l","l","d","u","l","u","R","l","l","d","D","u","D","R","D","r","l","u","R","l","d","r","l","R","R","r","l","R","l","R","l","R","R","l","l","l","R","r","R","u","u","d","l","r","u","l","u","R","R","R","l","u","d","l","l","l","l","l","u","R","l","l","D","l","d","R","l","u","u","R","D","R","u","l","l","R","l","l","l","u","D","l","R","R","R","u","R","R","l","U","l","R","D","R","r","R","R","D","R","l","d","l","d","l","l","l","l","l","l","R","R","R","R","l","L","R","R","R","l","l","R","R","l","d","R","R","l","l","d","l","D","l","l","l","R","l","d","u","d","r","l","R","u","d","l","d","R","u","l","l","d","r","u","R","R","R","u","l","R","u","R","u","D","u","R","L","d","l","l","l","u","u","D","l","l","l","l","d","R","R","r","u","l","u","l","R","R","l","R","D","R","L","u","u","R","R","R","d","L","d","u","R","R","R","l","D","R","R","u","R","l","R","l","u","l","l","U","u","u","d","d","l","d","R","u","R","u","d","u","D","u","D","l","D","R","l","u","l","R","D","R","R","u","u","l","l","R","l","u","l","U","R","R","R","l","u","d","l","l","l","u","R","l","D","R","l","l","l","l","D","l","D","d","l","U","R","l","l","l","R","R","d","D","u","d","R","U","R","l","R","R","R","R","R","l","l","u","l","l","r","R","R","R","R","u","u","l","l","u","L","l","R","R","R","R","l","R","R","d","r","D","l","l","D","R","u","R","d","l","r","u","D","R","d","l","r","D","D","u","l","R","R","R","l","l","R","l","l","d","u","l","l","l","u","d","R","d","R","R","r","R","u","u","l","R","d","R","r","L","l","u","r","d","u","R","l","R","d","R","R","l","l","d","u","d","R","l","u","D","l","R","D","d","l","R","l","r","l","R","r","l","l","l","R","D","l","R","R","u","l","l","R","R","u","L","d","r","u","R","l","R","l","l","l","d","R","R","D","l","d","u","R","R","l","l","R","l","R","l","R","r","R","u","l","u","u","l","l","r","u","r","d","d","l","l","d","R","R","R","l","d","u","l","R","D","R","r","D","d","R","D","d","U","R","r","l","D","R","u","u","L","u","l"
"R","d","D","u","d","l","R","R","d","r","R","d","u","d","U","l","l","R","u","d","u","r","R","R","l","d","l","R","l","R","l","r","u","l","D","u","R","D","d","d","u","D","d","R","u","u","r","l","l","D","R","R","l","R","d","u","R","d","U","R","u","l","R","l","u","l","l","l","u","d","l","u","R","R","l","D","R","l","R","u","u","D","D","R","l","R","u","D","l","R","d","l","d","d","D","u","R","R","l","R","u","R","R","l","l","r","D","R","l","R","u","l","l","l","l","R","R","d","d","u","l","u","R","R","R","R","u","l","R","R","d","u","R","R","R","l","u","l","R","D","d","u","D","R","l","R","R","u","r","D","D","l","D","r","R","R","D","l","u","u","R","l","R","l","D","l","u","R","R","l","l","R","l","R","u","L","l","D","L","u","R","l","l","l","u","r","R","R","R","r","l","R","R","l","r","d","R","l","R","R","R","u","l","l","u","d","u","R","l","d","l","L","l","R","R","r","l","l","r","R","u","l","R","R","D","R","l","l","l","l","l","l","u","l","u","D","d","l","R","R","l","R","r","l","u","l","u","l","D","R","l","r","u","R","R","l","R","d","l","L","l","d","R","R","R","R","D","l","R","l","R","l","D","U","D","R","u","R","R","R","d","R","l","R","l","l","l","l","R","R","l","D","u","u","l","R","R","R","u","R","u","l","u","D","l","r","l","l","l","d","R","L","d","u","u","l","l","R","l","r","R","R","R","R","l","l","l","U","l","R","l","L","R","r","R","R","l","u","r","R","l","R","R","l","d","l","R","u","d","l","l","u","R","u","R","u","R","R","u","l","d","R","D","R","l","u","R","r","l","R","l","u","d","R","l","R","l","r","R","u","u","u","l","R","r","l","d","d","R","d","u","l","l","l","l","u","R","U","l","D","l","u","u","l","R","l","l","l","l","l","D","R","l","R","l","d","u","d","l","u","l","u","l","u","L","r","D","l","u","u","R","l","R","l","u","l","l","l","r","l","d","U","D","l","d","l","R","l","R","d","u","l","l","l","R","D","R","d","l","u","l","l","d","l","R","L","d","D","R","l","R","u","D","d","d","d","R","u","R","u","u","r","R","u","l","R","R","d","u","r","D","u","R","l","d","r","l","l"
"R","u","R","l","l","R","l","u","R","R","d","l","R","u","R","u","l","R","R","u","l","R","d","R","R","R","u","l","R","u","l","r","R","l","R","D","R","u","D","l","r","l","l","R","l","R","l","u","u","u","d","l","R","l","d","l","l","u","L","D","d","R","R","l","l","d","l","l","u","l","L","D","l","R","u","l","R","u","d","u","u","l","R","l","D","l","R","D","l","d","u","u","L","l","d","l","L","l","D","d","l","R","D","u","d","l","R","u","r","R","r","l","u","l","R","l","d","R","R","l","l","l","R","u","R","l","l","D","r","R","R","r","R","d","u","l","d","u","l","D","L","R","D","u","r","u","u","R","r","u","d","R","l","u","R","R","l","R","r","D","R","u","l","d","l","R","u","r","l","l","D","D","R","R","R","u","u","d","R","R","R","R","l","R","R","d","l","l","l","u","d","l","d","R","u","l","R","R","l","d","d","D","R","u","u","R","R","r","u","R","l","l","d","l","u","R","d","R","d","D","l","L","l","R","u","l","d","l","u","r","l","l","u","R","R","R","d","R","l","l","u","r","l","R","R","U","l","R","u","R","l","l","R","l","l","R","D","l","d","R","l","l","r","l","R","r","l","l","r","r","R","u","R","u","l","l","d","R","U","d","l","l","r","l","l","R","u","l","l","l","D","d","R","l","l","R","R","d","R","l","l","l","R","l","u","u","u","l","l","l","R","u","d","u","r","l","R","d","l","R","l","u","R","U","d","l","l","l","D","R","R","d","R","u","R","R","R","U","u","U","d","d","l","l","u","u","R","D","l","l","R","R","l","R","u","d","D","l","l","R","R","R","R","r","R","u","l","u","R","u","u","D","l","R","D","R","r","R","l","u","l","R","D","u","R","u","R","R","l","R","R","R","l","l","u","R","R","l","D","l","d","d","d","d","R","l","l","D","l","l","R","d","D","l","r","l","u","l","l","R","r","u","D","R","R","l","l","u","R","r","R","D","U","R","d","R","u","l","R","d","l","D","l","u","l","u","l","l","l","L","l","D","r","R","R","R","u","R","R","l","l","D","R","l","D","L","R","d","l","l","u","u","R","R","l","R","d","l","u","l","l","R","D","u","d","R","D","l","l","d","r","l","R","u","l","l","R","D"
"l","R","u","u","D","l","R","R","l","l","l","l","l","u","l","r","u","R","l","l","R","R","l","l","R","l","u","l","l","d","u","R","L","R","r","R","d","d","D","u","r","l","l","R","D","R","u","l","d","l","D","R","d","r","L","R","u","u","l","l","R","R","L","D","l","R","R","D","l","l","R","d","D","l","D","D","R","u","D","l","D","u","R","R","d","l","u","R","l","l","R","l","r","l","l","l","U","R","d","l","d","d","D","r","l","d","l","u","R","l","u","R","l","R","R","d","l","u","l","R","R","l","r","R","l","R","u","u","R","l","l","l","u","l","D","R","l","l","r","u","u","l","l","R","l","l","d","l","l","R","D","R","D","R","u","d","l","l","u","U","R","d","l","D","l","R","u","U","R","R","u","u","u","D","l","l","l","l","r","u","r","l","l","d","R","R","R","u","L","D","d","l","u","d","u","l","R","r","u","D","R","u","d","D","R","R","D","r","R","l","u","R","l","R","R","R","R","D","R","U","u","l","d","d","D","u","l","l","u","R","l","d","l","u","l","u","R","l","R","l","u","R","l","u","u","R","l","L","u","R","u","R","u","R","l","l","l","l","D","u","l","d","d","l","u","l","R","R","R","u","R","R","d","u","d","R","r","d","l","u","R","R","D","d","d","R","R","R","l","l","R","l","R","D","l","u","D","l","u","R","R","r","R","l","d","l","l","l","R","u","l","r","R","R","D","R","l","l","d","U","l","R","l","R","l","u","d","D","u","l","d","u","u","l","R","d","d","u","R","R","r","l","R","d","R","R","L","l","u","D","R","D","d","u","R","r","l","l","d","R","r","R","u","l","l","l","R","R","R","l","l","R","u","l","R","D","R","l","R","l","l","R","u","u","l","l","u","D","R","R","u","u","R","D","l","l","R","R","R","l","u","l","D","u","l","R","R","l","l","l","l","l","R","l","R","l","l","R","u","R","r","d","L","u","R","d","U","d","l","l","R","l","d","r","l","R","R","R","r","u","u","l","u","l","u","R","r","u","l","d","R","R","l","l","u","u","u","l","l","l","R","R","R","l","R","R","R","l","R","R","d","d","R","l","l","u","d","L","l","R","d","R","r","u","R","d","D","R","l","l","l","l","R","R","r","r","R","d"
"u","R","D","d","R","u","l","r","u","l","R","d","r","U","R","l","D","l","u","l","D","u","d","l","R","R","R","u","D","u","R","l","R","l","R","U","l","R","R","R","l","r","l","R","R","l","l","l","R","l","u","R","R","R","u","D","R","l","l","u","R","l","D","u","l","R","R","R","u","l","l","u","l","l","d","d","l","R","l","R","R","r","l","u","u","R","d","L","R","R","d","R","D","R","l","R","R","u","R","u","l","l","r","l","U","l","l","d","l","D","r","l","l","D","R","l","l","u","l","L","u","l","l","l","D","R","R","D","l","R","d","u","l","l","L","d","l","u","D","u","l","u","u","l","L","l","u","u","u","l","l","R","l","R","l","R","l","d","R","d","l","u","R","l","R","u","l","u","l","R","R","l","d","l","l","r","R","d","u","r","u","u","u","D","d","d","l","d","R","R","d","d","R","d","d","R","u","R","R","R","l","d","l","l","L","r","l","R","r","u","L","d","l","R","l","u","l","u","R","D","l","l","R","R","R","l","l","l","d","D","R","l","R","R","r","D","U","d","l","u","R","u","l","l","D","R","R","R","R","r","R","R","r","l","R","l","u","u","R","R","d","R","R","l","R","d","D","R","d","R","l","u","R","l","l","l","D","l","R","l","R","R","D","r","u","u","D","u","r","l","l","D","u","l","l","u","L","l","D","R","D","l","d","l","d","R","l","l","d","u","l","l","R","R","l","R","R","R","R","R","R","d","l","l","d","R","R","R","l","l","l","R","u","R","D","l","R","R","l","u","R","u","U","R","R","u","R","l","l","d","u","R","R","d","r","l","u","d","r","R","R","l","l","R","l","R","l","u","R","l","r","R","l","u","u","l","R","d","u","l","R","u","l","R","R","l","u","R","R","D","R","l","r","l","u","d","u","d","R","u","l","R","l","D","l","R","d","u","R","D","R","l","d","u","u","L","D","d","u","l","R","r","u","l","l","l","u","R","r","l","l","r","r","u","R","D","u","l","R","l","D","u","l","d","l","u","D","l","l","r","l","R","R","u","l","R","l","R","d","D","d","u","u","l","l","u","d","l","r","R","l","R","l","R","l","r","R","d","R","l","R","l","l","R","R","U","l","R","l","d","l","u","u","R","R","u","l","R"
"l","l","l","r","R","R","r","l","R","l","R","R","l","l","L","u","r","l","D","R","l","D","l","u","R","l","r","l","d","R","u","r","u","l","u","R","l","l","R","u","R","l","R","u","l","D","l","D","u","R","u","R","R","l","l","u","R","R","l","l","l","R","l","d","d","l","r","d","u","R","R","R","r","l","R","d","D","l","l","l","l","R","d","d","u","R","u","D","R","d","l","r","l","l","l","R","l","l","d","D","R","d","u","U","l","u","R","l","R","l","R","l","R","u","R","d","l","R","r","R","u","R","R","r","l","u","R","l","R","R","l","l","R","D","R","D","R","l","u","u","D","R","l","R","l","D","u","l","R","R","L","D","r","R","d","l","l","R","d","R","u","R","d","D","l","D","l","R","l","l","l","l","l","l","R","R","u","l","l","R","R","R","d","l","d","u","l","R","d","u","u","l","U","l","l","R","D","u","R","D","l","u","R","l","L","l","R","d","R","u","R","u","R","D","L","r","l","u","R","l","R","l","R","R","R","R","R","l","R","r","R","R","D","l","R","R","R","R","u","d","R","R","l","u","l","d","u","l","d","L","l","R","u","R","L","R","u","u","l","r","l","l","R","D","R","D","D","u","d","l","r","u","u","d","l","R","l","R","D","l","R","R","R","u","u","u","d","R","l","R","R","l","u","R","D","u","U","l","u","D","d","l","u","u","u","u","u","R","l","u","R","d","l","R","U","l","L","D","l","u","R","l","U","D","R","l","u","r","R","R","l","R","U","R","d","R","u","r","l","R","l","R","u","u","l","l","D","R","l","R","R","d","l","r","d","l","u","d","u","R","l","R","d","r","R","u","d","R","R","R","l","L","l","D","l","r","r","u","l","l","D","d","r","l","R","l","l","l","d","R","l","l","d","R","u","r","R","u","l","r","R","u","R","u","l","l","l","R","R","R","D","l","R","r","u","R","d","l","u","R","D","l","d","d","R","u","u","l","l","d","l","u","l","l","u","u","d","R","u","D","l","l","l","R","l","l","l","l","R","l","u","l","R","D","l","l","l","l","R","R","D","d","d","d","R","l","u","l","d","d","u","d","l","l","l","r","l","R","l","R","l","l","R","u","R","l","d","u","d","u","D","u","D","R","u","l","R","d"
"r","R","u","l","D","r","l","l","L","R","l","d","R","l","R","d","l","l","r","D","r","R","l","u","l","R","l","R","D","R","u","R","R","u","l","u","R","l","R","l","d","u","l","l","l","R","u","D","l","l","u","D","L","l","r","d","R","l","u","r","u","l","l","R","u","d","l","R","u","l","u","R","u","L","R","u","R","d","l","u","R","u","R","l","l","d","d","R","d","d","d","r","R","u","l","l","D","l","u","R","l","d","R","l","l","R","u","R","u","D","D","d","l","d","R","u","l","R","l","l","r","R","u","D","l","R","l","D","u","D","r","R","R","r","l","l","l","D","d","l","l","d","l","R","u","d","u","D","R","l","U","l","l","l","l","R","D","l","R","l","R","l","d","l","r","l","l","u","l","u","l","l","l","R","l","l","u","u","R","l","R","R","R","R","l","l","R","l","R","u","R","d","u","l","u","l","l","R","l","u","d","u","l","R","l","u","l","r","R","l","D","l","L","l","l","l","R","l","l","l","l","d","d","l","R","u","l","d","d","D","l","R","l","d","l","l","u","l","u","R","l","R","u","u","u","R","r","L","R","d","l","D","R","d","r","D","u","R","r","l","u","L","R","l","R","R","R","l","d","D","l","l","l","R","r","u","R","d","R","d","l","l","D","u","D","l","l","R","R","r","R","l","d","D","R","d","l","l","U","D","r","u","R","R","R","R","u","R","d","R","R","u","d","d","u","l","r","l","u","R","R","R","r","l","R","R","d","l","l","l","u","d","u","R","R","R","R","l","r","R","R","l","l","u","L","l","l","R","R","u","u","l","R","R","l","R","R","R","l","D","l","U","l","d","l","l","R","D","R","R","R","l","d","l","R","l","u","d","l","l","R","u","l","R","l","u","R","l","d","l","U","l","d","l","u","l","R","l","u","l","R","D","R","u","d","l","D","R","R","l","r","D","D","R","u","d","u","R","l","u","u","R","R","R","R","R","d","r","R","R","R","r","l","l","l","u","D","R","R","l","R","u","D","u","R","R","R","d","R","R","l","r","R","l","U","d","d","u","R","R","R","l","R","R","D","l","u","l","d","D","D","D","l","u","D","l","R","u","l","R","R","u","R","l","L","r","u","u","R","u","u","U","R","R","l","R","R","l"
"l","L","l","L","d","u","R","l","R","R","D","r","u","R","u","R","l","d","l","R","R","d","l","l","l","R","R","l","l","R","d","u","l","R","l","R","u","L","r","D","l","l","d","l","d","l","r","u","L","l","l","d","l","U","u","R","l","u","d","l","U","l","D","l","u","r","u","r","r","d","d","l","d","u","D","u","R","l","l","R","u","u","R","R","D","l","u","R","D","R","R","u","D","d","R","u","l","r","D","R","u","U","u","R","l","u","l","R","R","R","d","l","u","d","u","l","u","l","R","R","l","l","d","l","R","l","l","r","R","l","u","l","l","R","l","l","D","l","d","l","l","R","d","D","d","R","R","u","l","l","l","l","u","d","R","R","R","R","d","l","l","D","R","D","l","u","l","u","R","l","l","D","u","U","l","u","R","l","r","D","l","u","d","l","R","d","u","u","l","R","R","u","d","l","l","R","R","R","d","d","l","l","D","l","u","l","R","u","l","R","R","d","R","R","u","u","l","R","l","l","R","l","u","l","l","R","u","R","l","d","l","l","u","u","D","u","R","r","U","R","u","R","D","L","R","D","d","R","r","R","l","l","r","l","R","r","u","R","u","U","l","D","R","l","l","R","R","D","u","L","R","d","R","u","u","R","R","u","D","l","r","l","R","D","l","R","R","u","u","R","R","R","d","R","l","l","l","l","D","d","d","l","d","R","R","R","l","R","L","l","l","R","l","d","u","R","u","u","u","l","d","l","l","u","l","R","l","d","R","l","l","R","R","R","u","d","R","R","l","l","u","R","l","R","l","l","l","l","l","D","R","u","u","R","l","l","D","R","R","R","r","l","D","u","l","u","R","u","l","u","d","l","R","l","l","l","d","u","l","l","u","R","u","r","R","l","d","l","l","D","l","R","R","l","l","R","r","D","l","R","R","r","d","D","u","l","l","R","R","d","r","R","l","R","R","u","r","D","l","d","R","l","l","l","l","l","u","u","d","R","R","u","D","D","l","R","l","l","R","l","u","R","u","D","l","l","u","l","R","u","l","R","r","u","r","R","u","R","R","R","R","R","l","l","d","r","u","D","r","l","R","R","R","R","l","l","D","R","R","R","l","d","R","D","r","L","d","R","r","R","R","l","u","R","R","u","R","l"
